CharacteristicName,ResultValue,ResultSampleFraction
Conductivity,170,Total
Inorganic carbon,1394,Dissolved
Iron,0,Dissolved
Magnesium,6.8,Dissolved
Manganese,0,Dissolved
Nitrate,157,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,855,Dissolved
pH,8.19,
Potassium,1.9,Dissolved
Silica_reactive,2.55,Total
Sodium,5,"Filtered, field"
Soluble Reactive Phosphorus (SRP),57,"Filtered, field"
Sulfate,11.9,Dissolved
Total Nitrogen_mixed forms,565,Dissolved
Total Particulate Carbon,780,Suspended
Total Particulate Nitrogen,103,Non-Filterable (Particle)
Total Particulate Phosphorus,30,Non-Filterable (Particle)
Total Phosphorus_mixed forms,69,Dissolved
Total suspended solids,24,Non-Filterable (Particle)
Total suspended solids,29,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,18.7,Dissolved
Chloride,3.98,"Filtered, field"
Chlorophyll a,1.95,Total
Chlorophyll a,1.44,
Conductivity,179,Total
Inorganic carbon,1451,Dissolved
Iron,0,Dissolved
Magnesium,7.1,Dissolved
Manganese,0,Dissolved
Nitrate,169,"Filtered, field"
Nitrite,5,"Filtered, field"
Organic carbon,864,Dissolved
pH,8.23,
Potassium,1.95,Dissolved
Silica_reactive,2.69,Total
Sodium,5.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),61,"Filtered, field"
Sulfate,12.73,Dissolved
Total Nitrogen_mixed forms,555,Dissolved
Total Particulate Carbon,970,Suspended
Total Particulate Nitrogen,103,Non-Filterable (Particle)
Total Particulate Phosphorus,30,Non-Filterable (Particle)
Total Phosphorus_mixed forms,71,Dissolved
Total suspended solids,28,Non-Filterable (Particle)
Total suspended solids,22,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,17,Dissolved
Chloride,3.3,"Filtered, field"
Chlorophyll a,3.5,Total
Chlorophyll a,2.61,
Conductivity,156,Total
Inorganic carbon,1316,Dissolved
Iron,0,Dissolved
Magnesium,6.1,Dissolved
Manganese,0,Dissolved
Nitrate,127,"Filtered, field"
Nitrite,4,"Filtered, field"
Organic carbon,864,Dissolved
pH,8.23,
Potassium,1.66,Dissolved
Silica_reactive,2.42,Total
Sodium,4.25,"Filtered, field"
Soluble Reactive Phosphorus (SRP),39,"Filtered, field"
Sulfate,9.66,Dissolved
Total Nitrogen_mixed forms,505,Dissolved
Total Particulate Carbon,1030,Suspended
Total Particulate Nitrogen,110,Non-Filterable (Particle)
Total Particulate Phosphorus,28,Non-Filterable (Particle)
Total Phosphorus_mixed forms,49,Dissolved
Total suspended solids,23,Non-Filterable (Particle)
Total suspended solids,30,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,35.6,Dissolved
Chloride,10.62,"Filtered, field"
Chlorophyll a,1.94,Total
Chlorophyll a,1.46,
Conductivity,350,Total
Inorganic carbon,2654,Dissolved
Iron,0,Dissolved
Magnesium,14.4,Dissolved
Manganese,0,Dissolved
Nitrate,300,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,871,Dissolved
pH,8.4,
Potassium,3.75,Dissolved
Silica_reactive,4.73,Total
Sodium,12.5,"Filtered, field"
Soluble Reactive Phosphorus (SRP),107,"Filtered, field"
Sulfate,35.82,Dissolved
Total Nitrogen_mixed forms,770,Dissolved
Total Particulate Carbon,820,Suspended
Total Particulate Nitrogen,84,Non-Filterable (Particle)
Total Particulate Phosphorus,21,Non-Filterable (Particle)
Total Phosphorus_mixed forms,116,Dissolved
Total suspended solids,18,Non-Filterable (Particle)
Total suspended solids,12,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,20,"Filtered, field"
Calcium,41.1,Dissolved
Chloride,13.28,"Filtered, field"
Chlorophyll a,2.14,Total
Chlorophyll a,1.55,
Conductivity,408,Total
Inorganic carbon,3015,Dissolved
Iron,0,Dissolved
Magnesium,17.1,Dissolved
Manganese,0,Dissolved
Nitrate,400,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,898,Dissolved
pH,8.4,
Potassium,4.35,Dissolved
Silica_reactive,5.38,Total
Sodium,15.8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),124,"Filtered, field"
Sulfate,44.74,Dissolved
Total Nitrogen_mixed forms,935,Dissolved
Total Particulate Carbon,910,Suspended
Total Particulate Nitrogen,97,Non-Filterable (Particle)
Total Particulate Phosphorus,25,Non-Filterable (Particle)
Total Phosphorus_mixed forms,134,Dissolved
Total suspended solids,22,Non-Filterable (Particle)
Total suspended solids,16,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,20,"Filtered, field"
Calcium,22.2,Dissolved
Chloride,5.29,"Filtered, field"
Chlorophyll a,2.07,Total
Chlorophyll a,1.54,
Conductivity,220,Total
Inorganic carbon,1835,Dissolved
Iron,0,Dissolved
Magnesium,8.9,Dissolved
Manganese,0,Dissolved
Nitrate,180,"Filtered, field"
Nitrite,5,"Filtered, field"
Organic carbon,898,Dissolved
pH,8.38,
Potassium,2.28,Dissolved
Silica_reactive,3.05,Total
Sodium,6.7,"Filtered, field"
Soluble Reactive Phosphorus (SRP),67,"Filtered, field"
Sulfate,18.03,Dissolved
Total Nitrogen_mixed forms,575,Dissolved
Total Particulate Carbon,920,Suspended
Total Particulate Nitrogen,107,Non-Filterable (Particle)
Total Particulate Phosphorus,27,Non-Filterable (Particle)
Total Phosphorus_mixed forms,77,Dissolved
Total suspended solids,21,Non-Filterable (Particle)
Total suspended solids,27,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,20,"Filtered, field"
Calcium,32,Dissolved
Chloride,9.81,"Filtered, field"
Chlorophyll a,3.51,Total
Chlorophyll a,2.48,
Conductivity,313,Total
Inorganic carbon,2389,Dissolved
Iron,0,Dissolved
Magnesium,12.7,Dissolved
Manganese,0,Dissolved
Nitrate,290,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,912,Dissolved
pH,8.39,
Potassium,3.55,Dissolved
Silica_reactive,4.13,Total
Sodium,11.3,"Filtered, field"
Soluble Reactive Phosphorus (SRP),89,"Filtered, field"
Sulfate,32.15,Dissolved
Total Nitrogen_mixed forms,770,Dissolved
Total Particulate Carbon,1160,Suspended
Total Particulate Nitrogen,134,Non-Filterable (Particle)
Total Particulate Phosphorus,38,Non-Filterable (Particle)
Total Phosphorus_mixed forms,121,Dissolved
Total suspended solids,29,Non-Filterable (Particle)
Total suspended solids,36,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,23.6,Dissolved
Chloride,6.47,"Filtered, field"
Chlorophyll a,2.38,Total
Chlorophyll a,1.4,
Conductivity,236,Total
Inorganic carbon,1854,Dissolved
Iron,0,Dissolved
Magnesium,9.6,Dissolved
Manganese,0,Dissolved
Nitrate,182,"Filtered, field"
Nitrite,4,"Filtered, field"
Organic carbon,834,Dissolved
pH,8.38,
Potassium,2.47,Dissolved
Silica_reactive,3.1,Total
Sodium,7.7,"Filtered, field"
Soluble Reactive Phosphorus (SRP),80,"Filtered, field"
Sulfate,20.91,Dissolved
Total Nitrogen_mixed forms,575,Dissolved
Total Particulate Carbon,840,Suspended
Total Particulate Nitrogen,102,Non-Filterable (Particle)
Total Particulate Phosphorus,30,Non-Filterable (Particle)
Total Phosphorus_mixed forms,91,Dissolved
Total suspended solids,28,Non-Filterable (Particle)
Total suspended solids,22,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,20,"Filtered, field"
Calcium,30.4,Dissolved
Chloride,9.91,"Filtered, field"
Chlorophyll a,2.98,Total
Chlorophyll a,1.99,
Conductivity,310,Total
Inorganic carbon,2349,Dissolved
Iron,0,Dissolved
Magnesium,12.8,Dissolved
Manganese,0,Dissolved
Nitrate,280,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,887,Dissolved
pH,8.46,
Potassium,3.4,Dissolved
Silica_reactive,3.99,Total
Sodium,11.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),87,"Filtered, field"
Sulfate,31.25,Dissolved
Total Nitrogen_mixed forms,765,Dissolved
Total Particulate Carbon,1280,Suspended
Total Particulate Nitrogen,148,Non-Filterable (Particle)
Total Particulate Phosphorus,44,Non-Filterable (Particle)
Total Phosphorus_mixed forms,98,Dissolved
Total suspended solids,42,Non-Filterable (Particle)
Total suspended solids,34,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,20.2,Dissolved
Chloride,5.54,"Filtered, field"
Chlorophyll a,2.05,Total
Chlorophyll a,1.18,
Conductivity,195,Total
Inorganic carbon,1571,Dissolved
Iron,0,Dissolved
Magnesium,7.8,Dissolved
Manganese,0,Dissolved
Nitrate,168,"Filtered, field"
Nitrite,5,"Filtered, field"
Organic carbon,862,Dissolved
pH,8.31,
Potassium,2.15,Dissolved
Silica_reactive,2.93,Total
Sodium,5.85,"Filtered, field"
Soluble Reactive Phosphorus (SRP),60,"Filtered, field"
Sulfate,14.72,Dissolved
Total Nitrogen_mixed forms,560,Dissolved
Total Particulate Carbon,820,Suspended
Total Particulate Nitrogen,103,Non-Filterable (Particle)
Total Particulate Phosphorus,32,Non-Filterable (Particle)
Total Phosphorus_mixed forms,71,Dissolved
Total suspended solids,32,Non-Filterable (Particle)
Total suspended solids,26,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,22.4,Dissolved
Chloride,6.39,"Filtered, field"
Chlorophyll a,2.21,Total
Chlorophyll a,1.22,
Conductivity,221,Total
Inorganic carbon,1759,Dissolved
Iron,0,Dissolved
Magnesium,9,Dissolved
Manganese,0,Dissolved
Nitrate,187,"Filtered, field"
Nitrite,6,"Filtered, field"
Organic carbon,857,Dissolved
pH,8.3,
Potassium,2.36,Dissolved
Silica_reactive,3.01,Total
Sodium,7.2,"Filtered, field"
Soluble Reactive Phosphorus (SRP),70,"Filtered, field"
Sulfate,20.27,Dissolved
Total Nitrogen_mixed forms,595,Dissolved
Total Particulate Carbon,1000,Suspended
Total Particulate Nitrogen,122,Non-Filterable (Particle)
Total Particulate Phosphorus,35,Non-Filterable (Particle)
Total Phosphorus_mixed forms,82,Dissolved
Total suspended solids,35,Non-Filterable (Particle)
Total suspended solids,29,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,20,"Filtered, field"
Calcium,32.8,Dissolved
Chloride,11.44,"Filtered, field"
Chlorophyll a,3.43,Total
Chlorophyll a,2.25,
Conductivity,346,Total
Inorganic carbon,2612,Dissolved
Iron,0,Dissolved
Magnesium,14.8,Dissolved
Manganese,0,Dissolved
Nitrate,290,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,885,Dissolved
pH,8.42,
Potassium,3.7,Dissolved
Silica_reactive,4.4,Total
Sodium,13.5,"Filtered, field"
Soluble Reactive Phosphorus (SRP),94,"Filtered, field"
Sulfate,36.37,Dissolved
Total Nitrogen_mixed forms,805,Dissolved
Total Particulate Carbon,1470,Suspended
Total Particulate Nitrogen,164,Non-Filterable (Particle)
Total Particulate Phosphorus,49,Non-Filterable (Particle)
Total Phosphorus_mixed forms,106,Dissolved
Total suspended solids,46,Non-Filterable (Particle)
Total suspended solids,38,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,30.6,Dissolved
Chloride,9.27,"Filtered, field"
Chlorophyll a,2.6,Total
Chlorophyll a,1.78,
Conductivity,312,Total
Inorganic carbon,2429,Dissolved
Iron,0,Dissolved
Magnesium,13.1,Dissolved
Manganese,0,Dissolved
Nitrate,250,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,857,Dissolved
pH,8.47,
Potassium,3.3,Dissolved
Silica_reactive,4.24,Total
Sodium,10.8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),97,"Filtered, field"
Sulfate,29.68,Dissolved
Total Nitrogen_mixed forms,715,Dissolved
Total Particulate Carbon,960,Suspended
Total Particulate Nitrogen,111,Non-Filterable (Particle)
Total Particulate Phosphorus,34,Non-Filterable (Particle)
Total Phosphorus_mixed forms,109,Dissolved
Total suspended solids,21,Non-Filterable (Particle)
Total suspended solids,27,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,16.9,Dissolved
Chloride,3.17,"Filtered, field"
Chlorophyll a,4.82,Total
Chlorophyll a,3.37,
Conductivity,154,Total
Inorganic carbon,1334,Dissolved
Iron,0,Dissolved
Magnesium,5.9,Dissolved
Manganese,0,Dissolved
Nitrate,107,"Filtered, field"
Nitrite,5,"Filtered, field"
Organic carbon,876,Dissolved
pH,8.27,
Potassium,1.57,Dissolved
Silica_reactive,2.38,Total
Sodium,4.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),34,"Filtered, field"
Sulfate,9.63,Dissolved
Total Nitrogen_mixed forms,500,Dissolved
Total Particulate Carbon,880,Suspended
Total Particulate Nitrogen,114,Non-Filterable (Particle)
Total Particulate Phosphorus,31,Non-Filterable (Particle)
Total Phosphorus_mixed forms,44,Dissolved
Total suspended solids,24,Non-Filterable (Particle)
Total suspended solids,30,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,13.2,Dissolved
Chloride,1.53,"Filtered, field"
Chlorophyll a,8.66,Total
Chlorophyll a,5.88,
Conductivity,112,Total
Inorganic carbon,1030,Dissolved
Iron,0,Dissolved
Magnesium,4.2,Dissolved
Manganese,0,Dissolved
Nitrate,35,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,899,Dissolved
pH,8.15,
Potassium,1.04,Dissolved
Silica_reactive,1.75,Total
Sodium,2.44,"Filtered, field"
Soluble Reactive Phosphorus (SRP),12,"Filtered, field"
Sulfate,3.84,Dissolved
Total Nitrogen_mixed forms,425,Dissolved
Total Particulate Carbon,850,Suspended
Total Particulate Nitrogen,119,Non-Filterable (Particle)
Total Particulate Phosphorus,24,Non-Filterable (Particle)
Total Phosphorus_mixed forms,20,Dissolved
Total suspended solids,15,Non-Filterable (Particle)
Total suspended solids,20,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,25,Dissolved
Chloride,6.9,"Filtered, field"
Chlorophyll a,3.11,Total
Chlorophyll a,1.89,
Conductivity,247,Total
Inorganic carbon,1975,Dissolved
Iron,0,Dissolved
Magnesium,10.2,Dissolved
Manganese,0,Dissolved
Nitrate,215,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,849,Dissolved
pH,8.38,
Potassium,2.7,Dissolved
Silica_reactive,3.56,Total
Sodium,8.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),79,"Filtered, field"
Sulfate,22.33,Dissolved
Total Nitrogen_mixed forms,630,Dissolved
Total Particulate Carbon,890,Suspended
Total Particulate Nitrogen,105,Non-Filterable (Particle)
Total Particulate Phosphorus,30,Non-Filterable (Particle)
Total Phosphorus_mixed forms,91,Dissolved
Total suspended solids,29,Non-Filterable (Particle)
Total suspended solids,24,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,40,"Filtered, field"
Calcium,37.6,Dissolved
Chloride,14.17,"Filtered, field"
Chlorophyll a,4.93,Total
Chlorophyll a,4.12,
Conductivity,394,Total
Inorganic carbon,2842,Dissolved
Iron,0,Dissolved
Magnesium,16.6,Dissolved
Manganese,0,Dissolved
Nitrate,330,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,869,Dissolved
pH,8.39,
Potassium,4,Dissolved
Silica_reactive,4.55,Total
Sodium,16.8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),99,"Filtered, field"
Sulfate,44.59,Dissolved
Total Nitrogen_mixed forms,845,Dissolved
Total Particulate Carbon,1660,Suspended
Total Particulate Nitrogen,183,Non-Filterable (Particle)
Total Particulate Phosphorus,54,Non-Filterable (Particle)
Total Phosphorus_mixed forms,111,Dissolved
Total suspended solids,40,Non-Filterable (Particle)
Total suspended solids,49,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,60,"Filtered, field"
Calcium,35.5,Dissolved
Chloride,13.26,"Filtered, field"
Chlorophyll a,5.26,Total
Chlorophyll a,4.2,
Conductivity,372,Total
Inorganic carbon,2826,Dissolved
Iron,0,Dissolved
Magnesium,15.5,Dissolved
Manganese,0,Dissolved
Nitrate,320,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,874,Dissolved
pH,8.4,
Potassium,3.75,Dissolved
Silica_reactive,4.28,Total
Sodium,15.5,"Filtered, field"
Soluble Reactive Phosphorus (SRP),96,"Filtered, field"
Sulfate,39.9,Dissolved
Total Nitrogen_mixed forms,830,Dissolved
Total Particulate Carbon,2020,Suspended
Total Particulate Nitrogen,213,Non-Filterable (Particle)
Total Particulate Phosphorus,75,Non-Filterable (Particle)
Total Phosphorus_mixed forms,107,Dissolved
Total suspended solids,66,Non-Filterable (Particle)
Total suspended solids,56,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,35,"Filtered, field"
Calcium,24.1,Dissolved
Chloride,7.22,"Filtered, field"
Chlorophyll a,4.32,Total
Chlorophyll a,3.45,
Conductivity,243,Total
Inorganic carbon,1908,Dissolved
Iron,0,Dissolved
Magnesium,9.7,Dissolved
Manganese,0,Dissolved
Nitrate,198,"Filtered, field"
Nitrite,4,"Filtered, field"
Organic carbon,881,Dissolved
pH,8.3,
Potassium,2.47,Dissolved
Silica_reactive,3.23,Total
Sodium,8.3,"Filtered, field"
Soluble Reactive Phosphorus (SRP),92,"Filtered, field"
Sulfate,20.78,Dissolved
Total Nitrogen_mixed forms,660,Dissolved
Total Particulate Carbon,1750,Suspended
Total Particulate Nitrogen,200,Non-Filterable (Particle)
Total Particulate Phosphorus,67,Non-Filterable (Particle)
Total Phosphorus_mixed forms,73,Dissolved
Total suspended solids,63,Non-Filterable (Particle)
Total suspended solids,54,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,29.4,Dissolved
Chloride,8.71,"Filtered, field"
Chlorophyll a,2.05,Total
Chlorophyll a,1.45,
Conductivity,298,Total
Inorganic carbon,2363,Dissolved
Iron,0,Dissolved
Magnesium,12.5,Dissolved
Manganese,0,Dissolved
Nitrate,250,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,829,Dissolved
pH,8.36,
Potassium,3.15,Dissolved
Silica_reactive,4.04,Total
Sodium,10.5,"Filtered, field"
Soluble Reactive Phosphorus (SRP),63,"Filtered, field"
Sulfate,29.38,Dissolved
Total Nitrogen_mixed forms,655,Dissolved
Total Particulate Carbon,890,Suspended
Total Particulate Nitrogen,109,Non-Filterable (Particle)
Total Particulate Phosphorus,25,Non-Filterable (Particle)
Total Phosphorus_mixed forms,102,Dissolved
Total suspended solids,22,Non-Filterable (Particle)
Total suspended solids,16,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,13.31,Total
Chlorophyll a,7.43,
Conductivity,223,Total
Inorganic carbon,1670,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,2,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,750,Dissolved
pH,8.29,
Potassium,0,Dissolved
Silica_reactive,0.836,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),5,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,445,Dissolved
Total Particulate Carbon,1260,Suspended
Total Particulate Nitrogen,155,Non-Filterable (Particle)
Total Particulate Phosphorus,34,Non-Filterable (Particle)
Total Phosphorus_mixed forms,14,Dissolved
Total suspended solids,11,Non-Filterable (Particle)
Total suspended solids,16,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,25,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,9.67,Total
Chlorophyll a,5.23,
Conductivity,225,Total
Inorganic carbon,1660,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,9,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,750,Dissolved
pH,8.22,
Potassium,0,Dissolved
Silica_reactive,0.653,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),8,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,455,Dissolved
Total Particulate Carbon,970,Suspended
Total Particulate Nitrogen,117,Non-Filterable (Particle)
Total Particulate Phosphorus,25,Non-Filterable (Particle)
Total Phosphorus_mixed forms,19,Dissolved
Total suspended solids,9,Non-Filterable (Particle)
Total suspended solids,5,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,5.46,Total
Chlorophyll a,2.91,
Conductivity,197,Total
Inorganic carbon,1510,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,1,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,750,Dissolved
pH,8.24,
Potassium,0,Dissolved
Silica_reactive,0.251,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),4,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,435,Dissolved
Total Particulate Carbon,890,Suspended
Total Particulate Nitrogen,96,Non-Filterable (Particle)
Total Particulate Phosphorus,19,Non-Filterable (Particle)
Total Phosphorus_mixed forms,14,Dissolved
Total suspended solids,1,Non-Filterable (Particle)
Total suspended solids,5,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,25.4,Dissolved
Chloride,15.11,"Filtered, field"
Chlorophyll a,4.12,Total
Chlorophyll a,2.56,
Conductivity,291,Total
Inorganic carbon,1970,Dissolved
Iron,0,Dissolved
Magnesium,11.1,Dissolved
Manganese,0,Dissolved
Nitrate,1,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,738,Dissolved
pH,8.36,
Potassium,2.68,Dissolved
Silica_reactive,0.416,Total
Sodium,14.7,"Filtered, field"
Soluble Reactive Phosphorus (SRP),12,"Filtered, field"
Sulfate,27.77,Dissolved
Total Nitrogen_mixed forms,395,Dissolved
Total Particulate Carbon,580,Suspended
Total Particulate Nitrogen,69,Non-Filterable (Particle)
Total Particulate Phosphorus,11,Non-Filterable (Particle)
Total Phosphorus_mixed forms,18,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,30.4,Dissolved
Chloride,20.06,"Filtered, field"
Chlorophyll a,2.65,Total
Chlorophyll a,1.77,
Conductivity,349,Total
Inorganic carbon,2332,Dissolved
Iron,0,Dissolved
Magnesium,12.6,Dissolved
Manganese,0,Dissolved
Nitrate,1,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,616,Dissolved
pH,8.37,
Potassium,2.87,Dissolved
Silica_reactive,0.657,Total
Sodium,19.7,"Filtered, field"
Soluble Reactive Phosphorus (SRP),3,"Filtered, field"
Sulfate,31.62,Dissolved
Total Nitrogen_mixed forms,335,Dissolved
Total Particulate Carbon,540,Suspended
Total Particulate Nitrogen,82,Non-Filterable (Particle)
Total Particulate Phosphorus,11,Non-Filterable (Particle)
Total Phosphorus_mixed forms,9,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,2,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,26,Dissolved
Chloride,15.42,"Filtered, field"
Chlorophyll a,7.98,Total
Chlorophyll a,5.37,
Conductivity,291,Total
Inorganic carbon,1967,Dissolved
Iron,0,Dissolved
Magnesium,11,Dissolved
Manganese,0,Dissolved
Nitrate,2,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,752,Dissolved
pH,8.41,
Potassium,2.75,Dissolved
Silica_reactive,0.708,Total
Sodium,15.2,"Filtered, field"
Soluble Reactive Phosphorus (SRP),16,"Filtered, field"
Sulfate,27.83,Dissolved
Total Nitrogen_mixed forms,445,Dissolved
Total Particulate Carbon,680,Suspended
Total Particulate Nitrogen,107,Non-Filterable (Particle)
Total Particulate Phosphorus,13,Non-Filterable (Particle)
Total Phosphorus_mixed forms,20,Dissolved
Total suspended solids,3,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,25,"Filtered, field"
Calcium,24.1,Dissolved
Chloride,13.05,"Filtered, field"
Chlorophyll a,2.05,Total
Chlorophyll a,1.34,
Conductivity,268,Total
Inorganic carbon,1869,Dissolved
Iron,0,Dissolved
Magnesium,10.2,Dissolved
Manganese,0,Dissolved
Nitrate,29,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,783,Dissolved
pH,8.36,
Potassium,2.61,Dissolved
Silica_reactive,0.547,Total
Sodium,13.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),19,"Filtered, field"
Sulfate,24.23,Dissolved
Total Nitrogen_mixed forms,425,Dissolved
Total Particulate Carbon,430,Suspended
Total Particulate Nitrogen,54,Non-Filterable (Particle)
Total Particulate Phosphorus,8,Non-Filterable (Particle)
Total Phosphorus_mixed forms,23,Dissolved
Total suspended solids,1,Non-Filterable (Particle)
Total suspended solids,5,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,2.87,Total
Chlorophyll a,1.73,
Conductivity,233,Total
Inorganic carbon,1700,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,1,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,770,Dissolved
pH,8.32,
Potassium,0,Dissolved
Silica_reactive,0.185,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),7,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,435,Dissolved
Total Particulate Carbon,650,Suspended
Total Particulate Nitrogen,57,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,16,Dissolved
Total suspended solids,3,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,2.02,Total
Chlorophyll a,1.31,
Conductivity,201,Total
Inorganic carbon,1540,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,1,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,790,Dissolved
pH,8.28,
Potassium,0,Dissolved
Silica_reactive,0.149,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),6,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,410,Dissolved
Total Particulate Carbon,600,Suspended
Total Particulate Nitrogen,37,Non-Filterable (Particle)
Total Particulate Phosphorus,11,Non-Filterable (Particle)
Total Phosphorus_mixed forms,14,Dissolved
Total suspended solids,2,Non-Filterable (Particle)
Total suspended solids,5,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,2.12,Total
Chlorophyll a,1.35,
Conductivity,203,Total
